"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Talioth Vambraces β","Talioth β Armor Sets","Rarity 5","2,500 z","Buttery Leathercraft Leap of Faith","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Talioth Scale+ 2× Acute Fang","Lured by Abundance Assignments"
"Udra Mirebraces","Nu Udra Large Monsters","Rarity 4","1,000 z","Nu Udra's Mutiny Lord's Favor Speed Eating","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Hide 1× Nu Udra Oilmucus","Nu Udra"
"Udra Mirebraces α","Nu Udra α Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Favor Speed Eating Counterstrike","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Certificate S 5× Nu Udra Spike+ 4× Nu Udra Tentacle+ 2× Kranodath Skull+","Nu Udra Hide+"
"Udra Mirebraces β","Nu Udra β Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Fury Speed Eating Counterstrike","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Certificate S 5× Nu Udra Spike+ 4× Nu Udra Tentacle+ 2× Kranodath Skull+","Nu Udra Hide+"
"Udra Mirecoil","Nu Udra Large Monsters","Rarity 4","1,000 z","Nu Udra's Mutiny Lord's Favor Resentment","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nu Udra Oilmucus 1× Nu Udra Tentacle 1× Nu Udra Horn 1× Guardian Scale","Repel the Guardian Arkveld Assignments"
"","","","","","","","","","",""
"Udra Mirecoil α","Nu Udra α Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Favor Resentment Speed Eating","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Nu Udra Hide+ 3× Nu Udra Oilmucus+ 3× Nu Udra Horn+ 2× Inferno Sac","Nu Udra Hide+"
"Udra Mirecoil β","Nu Udra β Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Fury Resentment","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Nu Udra Hide+ 3× Nu Udra Oilmucus+ 3× Nu Udra Horn+ 2× Inferno Sac","Nu Udra Hide+"
"Udra Miregreaves","Nu Udra Large Monsters","Rarity 4","1,000 z","Nu Udra's Mutiny Lord's Favor Speed Eating","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Spike 1× Nu Udra Tentacle 1× Guardian Pelt 1× Charred Oilbone","Repel the Guardian Arkveld Assignments"
"Udra Miregreaves α","Nu Udra α Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Favor Burst Windproof","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nu Udra Certificate S 4× Nu Udra Hide+ 4× Nu Udra Oilmucus+ 1× Nu Udra Flamegem","Nu Udra Hide+"
"Udra Miregreaves β","Nu Udra β Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Fury Burst Windproof","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nu Udra Certificate S 4× Nu Udra Hide+ 4× Nu Udra Oilmucus+ 1× Nu Udra Flamegem","Nu Udra Hide+"
"Udra Mirehelm","Nu Udra Large Monsters","Rarity 4","1,000 z","Nu Udra's Mutiny Lord's Favor Resentment","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Hide 1× Nu Udra Spike 1× Nu Udra Horn","Nu Udra"
"Udra Mirehelm α","Nu Udra α Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Favor Resentment Counterstrike","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Nu Udra Hide+ 6× Nu Udra Spike+ 3× Nu Udra Oilmucus+ 1× Dragonbone Relic","Nu Udra Hide+"
"Udra Mirehelm β","Nu Udra β Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Fury Resentment Counterstrike","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Nu Udra Hide+ 6× Nu Udra Spike+ 3× Nu Udra Oilmucus+ 1× Dragonbone Relic","Nu Udra Hide+"
"Udra Miremail","Nu Udra Large Monsters","Rarity 4","1,000 z","Nu Udra's Mutiny Lord's Favor Resentment Speed Eating","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nu Udra Certificate 2× Nu Udra Hide 1× Nu Udra Cerebrospinal Fluid 1× Guardian Blood","Repel the Guardian Arkveld Assignments"
"Udra Miremail α","Nu Udra α Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Favor Resentment Burst","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Certificate S 4× Nu Udra Tentacle+ 5× Nu Udra Horn+ 1× Nu Udra Cerebrospinal Fluid","Nu Udra Hide+"
"Udra Miremail β","Nu Udra β Armor Sets","Rarity 7","7,000 z","Nu Udra's Mutiny Lord's Fury Resentment","3","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nu Udra Certificate S 4× Nu Udra Tentacle+ 5× Nu Udra Horn+ 1× Nu Udra Cerebrospinal Fluid","Nu Udra Hide+"
"Vespoid Coil","Vespoid Small Monsters","Rarity 1","200 z","Neopteron Alert Paralysis Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Vespoid Shell 1× Monster Fluid","Vespoid Small Monsters"
"","","","","","","","","","",""
"Vespoid Coil α","Vespoid α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Paralysis Resistance Evade Window","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 2× Quality Bone","Lured by Abundance Assignments"
"Vespoid Coil β","Vespoid β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Paralysis Resistance","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 2× Quality Bone","Lured by Abundance Assignments"
"Vespoid Greaves","Vespoid Small Monsters","Rarity 1","200 z","Neopteron Alert Survival Expert","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Vespoid Shell 1× Vespoid Wing","Vespoid Small Monsters"
"Vespoid Greaves α","Vespoid α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Survival Expert Paralysis Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 1× Quality Bone","Lured by Abundance Assignments"
"Vespoid Greaves β","Vespoid β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Survival Expert","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 1× Quality Bone","Lured by Abundance Assignments"
"Vespoid Helm","Vespoid Small Monsters","Rarity 1","200 z","Neopteron Alert Survival Expert","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Vespoid Shell 1× Mystery Bone","Vespoid Small Monsters"
"Vespoid Helm α","Vespoid α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Survival Expert Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 3× Monster Broth","Lured by Abundance Assignments"
"Vespoid Helm β","Vespoid β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Survival Expert","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 3× Monster Broth","Lured by Abundance Assignments"
"Vespoid Mail","Vespoid Small Monsters","Rarity 1","200 z","Neopteron Alert Survival Expert","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Vespoid Shell 1× Mystery Bone","Vespoid Small Monsters"
"Vespoid Mail α","Vespoid α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Survival Expert Evade Window","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 2× Vespoid Innerwing","Lured by Abundance Assignments"
"Vespoid Mail β","Vespoid β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Survival Expert","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 2× Vespoid Innerwing","Lured by Abundance Assignments"
"Vespoid Vambraces","Vespoid Small Monsters","Rarity 1","200 z","Neopteron Alert Paralysis Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Vespoid Shell 1× Vespoid Wing","Vespoid Small Monsters"
"","","","","","","","","","",""
"Vespoid Vambraces α","Vespoid α Armor Sets","Rarity 5","2,500 z","Neopteron Alert Paralysis Resistance Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 3× Vespoid Innerwing","Lured by Abundance Assignments"
"Vespoid Vambraces β","Vespoid β Armor Sets","Rarity 5","2,500 z","Neopteron Camouflage Paralysis Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Vespoid Carapace 3× Vespoid Innerwing","Lured by Abundance Assignments"
"Xu Wu Coil","Xu Wu Large Monsters","Rarity 4","800 z","Flexible Leathercraft Maximum Might Stamina Surge","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Certificate 2× Xu Wu Hide 1× Xu Wu Claw 1× Xu Wu Cerebrospinal Fluid","Xu Wu"
"Xu Wu Coil α","Xu Wu α Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Flexible Leathercraft Earplugs Heroics","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Xu Wu Hide+ 3× Xu Wu Claw+ 2× Guardian Seikret Feather+","Xu Wu Hide+"
"Xu Wu Coil β","Xu Wu β Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Buttery Leathercraft Earplugs Heroics","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Xu Wu Hide+ 3× Xu Wu Claw+ 2× Guardian Seikret Feather+","Xu Wu Hide+"
"Xu Wu Greaves","Xu Wu Large Monsters","Rarity 4","800 z","Flexible Leathercraft Stamina Surge","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Claw 1× Xu Wu Tentacle 1× Xu Wu Fang","Xu Wu"
"Xu Wu Greaves α","Xu Wu α Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Flexible Leathercraft Adrenaline Rush Ambush","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Certificate S 5× Golden Corneum+ 4× Xu Wu Tentacle+ 2× Torrent Sac","Xu Wu Hide+"
"Xu Wu Greaves β","Xu Wu β Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Buttery Leathercraft Adrenaline Rush","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Certificate S 5× Golden Corneum+ 4× Xu Wu Tentacle+ 2× Torrent Sac","Xu Wu Hide+"
"Xu Wu Helm","Xu Wu Large Monsters","Rarity 4","800 z","Flexible Leathercraft Maximum Might","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Xu Wu Hide 2× Golden Corneum 1× Xu Wu Fang 1× Tough Guardian Bone","Xu Wu"
"Xu Wu Helm α","Xu Wu α Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Flexible Leathercraft Adrenaline Rush Ambush","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Xu Wu Certificate S 4× Xu Wu Tentacle+ 5× Xu Wu Fang+ 1× Xu Wu Cerebrospinal Fluid","Xu Wu Hide+"
"Xu Wu Helm β","Xu Wu β Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Buttery Leathercraft Adrenaline Rush","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Xu Wu Certificate S 4× Xu Wu Tentacle+ 5× Xu Wu Fang+ 1× Xu Wu Cerebrospinal Fluid","Xu Wu Hide+"
"Xu Wu Mail","Xu Wu Large Monsters","Rarity 4","800 z","Flexible Leathercraft Stamina Surge","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Golden Corneum 1× Xu Wu Tentacle","Xu Wu"
"","","","","","","","","","",""
"Xu Wu Mail α","Xu Wu α Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Flexible Leathercraft Heroics Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Certificate S 4× Xu Wu Hide+ 4× Xu Wu Claw+ 1× Xu Wu Umbragem","Xu Wu Hide+"
"Xu Wu Mail β","Xu Wu β Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Buttery Leathercraft Heroics","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Xu Wu Certificate S 4× Xu Wu Hide+ 4× Xu Wu Claw+ 1× Xu Wu Umbragem","Xu Wu Hide+"
"Xu Wu Vambraces","Xu Wu Large Monsters","Rarity 4","800 z","Flexible Leathercraft Maximum Might","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Xu Wu Hide 1× Xu Wu Claw","Xu Wu"
"Xu Wu Vambraces α","Xu Wu α Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Flexible Leathercraft Earplugs","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Xu Wu Hide+ 6× Golden Corneum+ 3× Xu Wu Claw+ 3× Xu Wu Fang+","Xu Wu Hide+"
"Xu Wu Vambraces β","Xu Wu β Armor Sets","Rarity 6","5,000 z","Xu Wu's Vigor Buttery Leathercraft Earplugs","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Xu Wu Hide+ 6× Golden Corneum+ 3× Xu Wu Claw+ 3× Xu Wu Fang+","Xu Wu Hide+"
